timestamp,pool_price,ail_demand_mw,temperature_c,wind_generation_mw,gas_price_aeco
2024-01-01 00:00:00,215.19,11729.3,-12.2,603.9,2.581
2024-01-01 01:00:00,208.77,11557.0,-17.0,771.6,2.589
2024-01-01 02:00:00,169.26,11459.4,-12.1,812.0,2.542
2024-01-01 03:00:00,137.53,11134.8,-11.7,801.8,2.515
2024-01-01 04:00:00,210.79,11807.6,-20.2,779.6,2.516
2024-01-01 05:00:00,181.56,11591.8,-17.8,778.9,2.517
2024-01-01 06:00:00,164.7,11458.8,-12.7,819.9,2.513
2024-01-01 07:00:00,159.2,11301.2,-13.0,846.5,2.524
2024-01-01 08:00:00,180.42,11521.2,-10.9,745.7,2.538
2024-01-01 09:00:00,136.67,11064.1,-12.1,821.2,2.576
2024-01-01 10:00:00,139.52,11171.9,-5.6,767.7,2.577
2024-01-01 11:00:00,125.55,10998.1,-4.7,830.0,2.592
2024-01-01 12:00:00,127.82,10877.3,-5.8,773.6,2.58
2024-01-01 13:00:00,138.59,11213.0,-1.8,857.2,2.572
2024-01-01 14:00:00,149.62,11290.7,-3.3,883.7,2.559
2024-01-01 15:00:00,122.75,10803.3,-7.1,744.1,2.558
2024-01-01 16:00:00,139.26,11017.8,-3.6,671.3,2.561
2024-01-01 17:00:00,170.63,11355.5,-8.1,708.0,2.577
2024-01-01 18:00:00,146.21,11038.1,-3.4,595.5,2.582
2024-01-01 19:00:00,158.62,11425.4,-7.2,814.1,2.602
2024-01-01 20:00:00,188.72,11455.9,-8.8,738.3,2.622
2024-01-01 21:00:00,180.3,11397.4,-11.6,745.2,2.623
2024-01-01 22:00:00,204.83,11491.2,-7.2,587.6,2.621
2024-01-01 23:00:00,215.75,11518.3,-12.5,528.6,2.598
2024-01-02 00:00:00,206.47,11368.7,-14.4,454.0,2.59
2024-01-02 01:00:00,224.08,11343.8,-15.0,436.0,2.578
2024-01-02 02:00:00,217.3,11533.6,-12.8,434.5,2.567
2024-01-02 03:00:00,186.55,11194.8,-13.5,487.3,2.56
2024-01-02 04:00:00,178.98,11244.0,-13.2,561.9,2.568
2024-01-02 05:00:00,172.11,11248.2,-12.6,627.9,2.572
2024-01-02 06:00:00,148.19,11039.8,-6.7,562.9,2.587
2024-01-02 07:00:00,182.78,11320.5,-13.3,542.3,2.593
2024-01-02 08:00:00,154.77,11090.1,-12.4,530.5,2.584
2024-01-02 09:00:00,185.91,11538.8,-12.0,614.5,2.596
2024-01-02 10:00:00,131.53,10975.2,-6.5,767.1,2.575
2024-01-02 11:00:00,153.51,11285.9,-3.7,795.0,2.59
2024-01-02 12:00:00,148.57,11148.5,-6.4,782.3,2.578
2024-01-02 13:00:00,152.8,11417.8,-7.8,807.0,2.544
2024-01-02 14:00:00,151.91,11288.2,-7.2,859.1,2.552
2024-01-02 15:00:00,129.11,11167.7,-2.6,1077.9,2.547
2024-01-02 16:00:00,123.54,11030.4,-2.5,1010.1,2.565
2024-01-02 17:00:00,118.44,11026.5,-3.6,1013.6,2.579
2024-01-02 18:00:00,142.47,11413.6,-8.1,999.6,2.564
2024-01-02 19:00:00,161.39,11557.0,-6.4,1049.5,2.587
2024-01-02 20:00:00,145.37,11125.7,-8.0,886.4,2.559
2024-01-02 21:00:00,155.69,11347.8,-8.9,885.6,2.566
2024-01-02 22:00:00,155.82,11141.8,-8.3,931.4,2.587
2024-01-02 23:00:00,179.15,11381.8,-11.4,757.3,2.572
2024-01-03 00:00:00,179.19,11260.0,-11.2,650.0,2.604
2024-01-03 01:00:00,175.07,10988.8,-13.8,553.1,2.606
2024-01-03 02:00:00,185.11,11317.1,-13.6,660.0,2.612
2024-01-03 03:00:00,185.69,11476.8,-12.8,750.7,2.629
2024-01-03 04:00:00,182.8,11491.8,-18.9,733.1,2.636
2024-01-03 05:00:00,183.33,11584.1,-14.9,767.1,2.616
2024-01-03 06:00:00,165.64,11443.0,-14.6,772.1,2.568
2024-01-03 07:00:00,166.73,11362.5,-14.1,798.8,2.553
2024-01-03 08:00:00,152.82,11454.3,-11.8,797.3,2.54
2024-01-03 09:00:00,150.16,11074.5,-5.2,800.2,2.525
2024-01-03 10:00:00,156.75,11371.4,-11.0,988.2,2.516
2024-01-03 11:00:00,123.08,11134.9,-4.3,1001.9,2.473
2024-01-03 12:00:00,141.86,11392.4,-11.2,1028.7,2.455
2024-01-03 13:00:00,109.42,10813.5,-6.3,968.6,2.464
2024-01-03 14:00:00,126.31,10946.9,-4.3,901.1,2.479
2024-01-03 15:00:00,106.91,10620.1,-2.9,818.2,2.468
2024-01-03 16:00:00,135.51,11054.5,-2.7,801.2,2.479
2024-01-03 17:00:00,141.85,11107.4,-3.0,826.6,2.44
2024-01-03 18:00:00,141.53,11337.3,-7.2,807.7,2.444
2024-01-03 19:00:00,156.46,11315.4,-8.5,806.3,2.462
2024-01-03 20:00:00,153.01,11229.4,-5.8,869.0,2.469
2024-01-03 21:00:00,140.5,10991.8,-10.2,832.7,2.469
2024-01-03 22:00:00,167.34,11480.9,-14.8,883.2,2.431
2024-01-03 23:00:00,171.09,11263.2,-15.6,781.2,2.459
2024-01-04 00:00:00,175.83,11454.7,-16.0,880.5,2.488
2024-01-04 01:00:00,195.43,11600.2,-12.6,797.1,2.499
2024-01-04 02:00:00,196.21,11577.1,-14.1,770.8,2.519
2024-01-04 03:00:00,176.1,11409.3,-12.6,676.6,2.519
2024-01-04 04:00:00,176.4,11429.8,-15.8,739.2,2.53
2024-01-04 05:00:00,137.61,11163.6,-13.6,878.1,2.543
2024-01-04 06:00:00,143.47,11265.8,-11.4,772.8,2.542
2024-01-04 07:00:00,182.05,11545.5,-13.1,720.2,2.529
2024-01-04 08:00:00,148.55,11247.3,-9.6,689.8,2.542
2024-01-04 09:00:00,149.06,11025.4,-11.7,607.2,2.571
2024-01-04 10:00:00,168.7,11234.6,-9.5,594.3,2.589
2024-01-04 11:00:00,131.69,10833.3,-8.4,608.2,2.594
2024-01-04 12:00:00,181.45,11423.2,-9.8,650.9,2.598
2024-01-04 13:00:00,144.17,10852.2,-3.9,659.8,2.603
2024-01-04 14:00:00,138.01,10902.1,-6.3,640.7,2.569
2024-01-04 15:00:00,147.2,11189.7,-4.7,727.5,2.567
2024-01-04 16:00:00,141.85,11077.9,-3.4,813.2,2.564
2024-01-04 17:00:00,122.31,11048.1,-4.0,792.9,2.546
2024-01-04 18:00:00,173.83,11398.0,-4.2,798.9,2.562
2024-01-04 19:00:00,164.55,11284.6,-7.5,704.7,2.566
2024-01-04 20:00:00,147.11,11153.5,-9.7,888.9,2.527
2024-01-04 21:00:00,151.35,11353.6,-10.0,938.6,2.53
2024-01-04 22:00:00,181.2,11519.7,-16.1,957.7,2.549
2024-01-04 23:00:00,197.28,11800.6,-16.6,1017.7,2.54
2024-01-05 00:00:00,184.93,11639.0,-17.3,987.9,2.525
2024-01-05 01:00:00,181.11,11627.0,-17.1,975.5,2.506
2024-01-05 02:00:00,131.54,11080.9,-13.4,1074.2,2.507
2024-01-05 03:00:00,168.97,11567.2,-17.5,984.6,2.496
2024-01-05 04:00:00,147.97,11447.0,-15.7,1004.4,2.474
2024-01-05 05:00:00,123.68,10972.6,-10.2,982.1,2.499
2024-01-05 06:00:00,152.16,11357.0,-14.4,972.5,2.502
2024-01-05 07:00:00,138.52,11254.0,-10.1,959.7,2.494
2024-01-05 08:00:00,139.34,11404.9,-13.9,1000.4,2.519
2024-01-05 09:00:00,207.28,10984.0,-10.4,1030.7,2.523
2024-01-05 10:00:00,118.28,11266.1,-11.3,1003.7,2.521
2024-01-05 11:00:00,131.34,11089.2,-8.3,1029.9,2.524
2024-01-05 12:00:00,115.96,10980.0,-3.7,949.3,2.516
2024-01-05 13:00:00,144.56,11360.4,-10.6,993.5,2.514
2024-01-05 14:00:00,115.3,10901.7,-3.6,934.5,2.523
2024-01-05 15:00:00,125.65,10926.9,-4.1,854.0,2.548
2024-01-05 16:00:00,145.35,11169.4,-6.7,951.5,2.54
2024-01-05 17:00:00,145.42,11494.6,-9.8,912.7,2.549
2024-01-05 18:00:00,140.31,11154.2,-6.0,827.0,2.527
2024-01-05 19:00:00,167.38,11500.3,-8.9,895.7,2.535
2024-01-05 20:00:00,158.72,11368.0,-7.8,892.5,2.562
2024-01-05 21:00:00,171.77,11515.5,-9.7,905.5,2.562
2024-01-05 22:00:00,168.75,11277.5,-6.3,881.3,2.554
2024-01-05 23:00:00,197.47,11657.4,-13.0,862.2,2.546
2024-01-06 00:00:00,115.14,10683.9,-16.4,914.5,2.553
2024-01-06 01:00:00,120.16,10833.4,-13.6,922.6,2.554
2024-01-06 02:00:00,118.27,10942.0,-14.0,1039.8,2.548
2024-01-06 03:00:00,108.28,10786.8,-10.7,1100.1,2.558
2024-01-06 04:00:00,92.28,10470.7,-12.1,1030.7,2.544
2024-01-06 05:00:00,97.59,10783.2,-13.1,949.3,2.557
2024-01-06 06:00:00,74.63,10462.6,-9.0,1059.4,2.553
2024-01-06 07:00:00,125.31,11178.3,-15.9,965.8,2.563
2024-01-06 08:00:00,92.93,10459.9,-13.0,910.6,2.575
2024-01-06 09:00:00,98.28,10571.2,-12.6,900.5,2.546
2024-01-06 10:00:00,83.36,10249.4,-9.7,913.6,2.545
2024-01-06 11:00:00,98.44,10723.1,-11.4,870.3,2.522
2024-01-06 12:00:00,100.31,10739.0,-4.4,941.2,2.496
2024-01-06 13:00:00,82.31,10441.1,-6.1,937.1,2.493
2024-01-06 14:00:00,90.4,10660.8,-9.4,849.2,2.497
2024-01-06 15:00:00,101.53,10666.3,-7.9,715.3,2.474
2024-01-06 16:00:00,80.35,10339.1,-4.0,798.2,2.478
2024-01-06 17:00:00,90.6,10362.8,-3.0,742.8,2.465
2024-01-06 18:00:00,84.8,10209.6,-0.3,701.9,2.466
2024-01-06 19:00:00,70.48,9876.3,1.4,764.2,2.504
2024-01-06 20:00:00,101.08,10469.6,-7.3,724.2,2.499
2024-01-06 21:00:00,125.91,10899.0,-12.8,748.3,2.482
2024-01-06 22:00:00,149.41,11166.9,-17.5,757.1,2.482
2024-01-06 23:00:00,139.36,10878.6,-11.5,661.7,2.479
2024-01-07 00:00:00,142.75,10919.3,-15.8,701.3,2.474
2024-01-07 01:00:00,139.24,10881.3,-15.4,685.5,2.474
2024-01-07 02:00:00,132.99,10997.2,-16.5,779.0,2.471
2024-01-07 03:00:00,113.27,10677.6,-15.3,752.0,2.453
2024-01-07 04:00:00,101.08,10459.1,-11.5,721.7,2.465
2024-01-07 05:00:00,113.67,10677.6,-13.7,682.1,2.485
2024-01-07 06:00:00,96.14,10489.4,-13.9,595.1,2.479
2024-01-07 07:00:00,110.33,10896.0,-15.5,674.3,2.485
2024-01-07 08:00:00,131.61,11071.4,-16.2,579.3,2.454
2024-01-07 09:00:00,100.4,10511.4,-11.3,624.5,2.454
2024-01-07 10:00:00,103.75,10600.4,-8.7,673.7,2.483
2024-01-07 11:00:00,72.03,10067.2,-2.0,673.2,2.495
2024-01-07 12:00:00,75.2,10234.0,-5.9,707.1,2.497
2024-01-07 13:00:00,90.82,10622.5,-2.6,728.7,2.496
2024-01-07 14:00:00,71.05,10304.2,-6.5,821.6,2.492
2024-01-07 15:00:00,77.7,10367.2,-8.4,866.4,2.498
2024-01-07 16:00:00,85.0,10611.8,-7.9,810.5,2.513
2024-01-07 17:00:00,91.95,10605.4,-7.7,870.4,2.506
2024-01-07 18:00:00,74.94,10239.5,0.1,946.1,2.517
2024-01-07 19:00:00,102.8,11007.2,-9.8,1008.9,2.505
2024-01-07 20:00:00,76.32,10278.9,-6.0,990.1,2.498
2024-01-07 21:00:00,97.05,10649.3,-12.6,1098.7,2.482
